"fact","category"
"Bitcoin's maximum supply is capped at 21 million coins.","Economics"
"Satoshi Nakamoto published the Bitcoin whitepaper on October 31, 2008.","History"
"The first Bitcoin transaction was made on January 12, 2009, between Satoshi and Hal Finney.","History"
"The first commercial Bitcoin transaction was for two pizzas, purchased for 10,000 BTC in 2010.","History"
"Bitcoin's smallest unit, a satoshi, is one hundred millionth of a Bitcoin (0.00000001 BTC).","Technical"
"It's estimated that about 20% of all bitcoins are lost forever due to lost private keys.","Economics"
"Bitcoin's code is open source and maintained by a community of volunteers.","Technical"
"Bitcoin mining uses proof-of-work consensus to secure the network.","Technical"
"Bitcoin blocks are mined approximately every 10 minutes.","Technical"
"Bitcoin transactions are irreversible once confirmed.","Technical"
"Bitcoin's difficulty adjusts every 2,016 blocks (roughly 2 weeks) to maintain 10-minute block times.","Technical"
"The Bitcoin Lightning Network is a layer-2 solution that enables faster and cheaper transactions.","Technical"
"Each Bitcoin halving cuts the mining reward in half, occurring approximately every four years.","Economics"
"Bitcoin's pseudonymous creator Satoshi Nakamoto has never been conclusively identified.","History"
"Bitcoin was created partly in response to the 2008 financial crisis.","History"
"The first Bitcoin exchange, BitcoinMarket.com, launched in March 2010.","History"
"The term 'HODL' originated from a typo of 'hold' in a Bitcoin forum post and became a popular investing strategy.","Culture"
"El Salvador became the first country to adopt Bitcoin as legal tender in 2021.","Economics"
"Bitcoin's blockchain is estimated to be over 400 GB in size as of 2023.","Technical"
"Approximately 90% of all bitcoins that will ever exist have already been mined.","Economics"
"Bitcoin's white paper is only 9 pages long.","History"
"The final Bitcoin is projected to be mined around the year 2140.","Economics"
"Bitcoin's source code contains some Easter eggs, including the Times headline from the genesis block.","Technical"
"Satoshi Nakamoto is estimated to have mined about 1 million bitcoins, which have never been moved.","History"
"The Bitcoin network annually consumes more electricity than some small countries.","Environmental"
"Bitcoin's addresses are case-sensitive and can be up to 35 characters long.","Technical"
"The first Bitcoin conference was held in 2011 in New York City.","History"
"The FBI once owned one of the largest Bitcoin wallets after seizing bitcoins from the Silk Road marketplace.","History"
"Bitcoin ATMs exist in over 80 countries worldwide as of 2023.","Adoption"
"Over 100,000 merchants and services accept Bitcoin payments globally.","Adoption"
"The concept of 'Bitcoin pizza day' celebrates May 22, when those two famous pizzas were purchased.","Culture"
